I	ich
which (man)	welcher (Mann) = welch + er --- the singular of welch is otherwise inflected like "ein" ! --- plural inflected like a normal adjective
which (woman)	welche (Frau) = welch + e --- the singular of welch is otherwise inflected like "ein" ! --- plural inflected like a normal adjective
which (thing)	welches (Ding) = welch + es --- the singular of welch is otherwise inflected like "ein" ! --- plural inflected like a normal adjective
which (thing) --- used as an object	welches (Ding) = welch + es --- the singular of welch is otherwise inflected like "ein" ! --- plural inflected like a normal adjective
myself	mich
yourself	dich
yourself --- singular, polite	Sich --- with capital letter!
himself	sich
herself	sich
itself	sich
ourselves	uns
yourselves	euch
themselves	sich
each other, one another	einander
every / each (man)	jeder (Mann) = jed + er --- the singular of jed is otherwise inflected like "ein" ! --- no plural
every / each (woman)	jede (Frau) = jed + e --- the singular of jed is otherwise inflected like "ein" ! --- no plural
every / each (thing)	jedes (Ding) = jed + es --- the singular of jed is otherwise inflected like "ein" ! --- no plural
every / each (thing) --- used as an object	jedes (Ding) = jed + es --- the singular of jed is otherwise inflected like "ein" ! --- no plural
the (man)	der (Mann)
of the (man)	des (Mannes)
(to) the (man)	(zu) dem (Mann)
the (man) --- used as an object	den (Mann)
the (woman)	die (Frau)
of the (woman)	der (Frau)
(to) the (woman)	(zu) der (Frau)
the (woman) --- used as an object	die (Frau)
the (thing)	das (Ding)
of the (thing)	des (Dinges)
(to) the (thing)	(zu) dem (Ding)
the (thing) --- used as an object	das (Ding)
the (men/women/things)	die (Männer/Frauen/Dinge)
of the (men/women/things)	der (Männer/Frauen/Dinge)
(to) the (men/women/things)	(zu) den (Männern/Frauen/Dingen)
the (men/women/things) --- used as an object	die (Männer/Frauen/Dinge)
